# sizeof probe, x86_64, limit 65507 B (tt_MAX_BUFFER_LENGTH)
example_interfaces/msg/WString	-	NOT_GENERATED	UnsupportedFieldError: field 'data': wstring is out of scope
std_msgs/msg/Int32MultiArray	16460	CREATE_OK	max_wire_size 16444
std_msgs/msg/Int64	8	CREATE_OK	max_wire_size 8
std_msgs/msg/Int64MultiArray	16460	CREATE_OK	max_wire_size 16444
std_msgs/msg/Int8	1	CREATE_OK	max_wire_size 1
std_msgs/msg/Int8MultiArray	16460	CREATE_OK	max_wire_size 16442
std_msgs/msg/MultiArrayDimension	16	CREATE_OK	max_wire_size 12
std_msgs/msg/MultiArrayLayout	72	CREATE_OK	max_wire_size 56
std_msgs/msg/String	8	CREATE_OK	max_wire_size 2
std_msgs/msg/UInt16	2	CREATE_OK	max_wire_size 2
std_msgs/msg/UInt16MultiArray	16460	CREATE_OK	max_wire_size 16442
std_msgs/msg/UInt32	4	CREATE_OK	max_wire_size 4
std_msgs/msg/UInt32MultiArray	16460	CREATE_OK	max_wire_size 16444
std_msgs/msg/UInt64	8	CREATE_OK	max_wire_size 8
std_msgs/msg/UInt64MultiArray	16460	CREATE_OK	max_wire_size 16444
std_msgs/msg/UInt8	1	CREATE_OK	max_wire_size 1
std_msgs/msg/UInt8MultiArray	16460	CREATE_OK	max_wire_size 16442
std_srvs/srv/Empty_Request	1	CREATE_OK	max_wire_size 0
std_srvs/srv/Empty_Response	1	CREATE_OK	max_wire_size 0
std_srvs/srv/SetBool_Request	1	CREATE_OK	max_wire_size 1
std_srvs/srv/SetBool_Response	12	CREATE_OK	max_wire_size 4
std_srvs/srv/Trigger_Request	1	CREATE_OK	max_wire_size 0
std_srvs/srv/Trigger_Response	12	CREATE_OK	max_wire_size 4
stereo_msgs/msg/DisparityImage	64100	CREATE_OK	max_wire_size 64084
test_msgs/msg/Builtins	16	CREATE_OK	max_wire_size 16
tf2_msgs/msg/TF2Error	12	CREATE_OK	max_wire_size 4
tf2_msgs/msg/TFMessage	804	CREATE_OK	max_wire_size 684
tf2_msgs/srv/FrameGraph_Request	1	CREATE_OK	max_wire_size 0
