rosgraph_msgs/msg/QoSProfile	OK	max 32 B
rosgraph_msgs/msg/Service	OK_STRINGS	fixed part 140 B, strings bounded at runtime
rosgraph_msgs/msg/Topic	OK_STRINGS	fixed part 72 B, strings bounded at runtime
rosgraph_msgs/msg/TypeHash	OK	max 33 B
sensor_msgs/msg/BatteryState	NEEDS_CAP	auto-derived capacity only supports a single trailing variable array with no ROS 2 upper bound - add a '# @capacity <N>' annotation to the others
sensor_msgs/msg/CameraInfo	NEEDS_CAP	auto-derived capacity only supports a single trailing variable array with no ROS 2 upper bound - add a '# @capacity <N>' annotation to the others
sensor_msgs/msg/ChannelFloat32	NEEDS_CAP	field 'values': its capacity can't be auto-derived because a preceding field ('name') isn't fixed-size (a string, or a nested type containing one) - add an explicit '# @capacity <N>' annotation instead
sensor_msgs/msg/CompressedImage	NEEDS_CAP	field 'data': its capacity can't be auto-derived because a preceding field ('header') isn't fixed-size (a string, or a nested type containing one) - add an explicit '# @capacity <N>' annotation instead
sensor_msgs/msg/FluidPressure	OK_STRINGS	fixed part 28 B, strings bounded at runtime
sensor_msgs/msg/Illuminance	OK_STRINGS	fixed part 28 B, strings bounded at runtime
sensor_msgs/msg/Image	NEEDS_CAP	field 'data': its capacity can't be auto-derived because a preceding field ('header') isn't fixed-size (a string, or a nested type containing one) - add an explicit '# @capacity <N>' annotation instead
sensor_msgs/msg/Imu	OK_STRINGS	fixed part 308 B, strings bounded at runtime
sensor_msgs/msg/JointState	NEEDS_CAP	auto-derived capacity only supports a single trailing variable array with no ROS 2 upper bound - add a '# @capacity <N>' annotation to the others
sensor_msgs/msg/Joy	NEEDS_CAP	auto-derived capacity only supports a single trailing variable array with no ROS 2 upper bound - add a '# @capacity <N>' annotation to the others
sensor_msgs/msg/JoyFeedback	OK	max 8 B
sensor_msgs/msg/JoyFeedbackArray	TOO_BIG	fixed part 1982 B > 1444
sensor_msgs/msg/LaserEcho	OK	max 1444 B
sensor_msgs/msg/LaserScan	NEEDS_CAP	auto-derived capacity only supports a single trailing variable array with no ROS 2 upper bound - add a '# @capacity <N>' annotation to the others
sensor_msgs/msg/MagneticField	OK_STRINGS	fixed part 108 B, strings bounded at runtime
sensor_msgs/msg/MultiDOFJointState	NEEDS_CAP	auto-derived capacity only supports a single trailing variable array with no ROS 2 upper bound - add a '# @capacity <N>' annotation to the others
sensor_msgs/msg/MultiEchoLaserScan	NEEDS_CAP	auto-derived capacity only supports a single trailing variable array with no ROS 2 upper bound - add a '# @capacity <N>' annotation to the others
sensor_msgs/msg/NavSatFix	OK_STRINGS	fixed part 113 B, strings bounded at runtime
sensor_msgs/msg/NavSatStatus	OK	max 4 B
sensor_msgs/msg/PointCloud	NEEDS_CAP	field 'values': its capacity can't be auto-derived because a preceding field ('name') isn't fixed-size (a string, or a nested type containing one) - add an explicit '# @capacity <N>' annotation instead
sensor_msgs/msg/PointCloud2	NEEDS_CAP	auto-derived capacity only supports a single trailing variable array with no ROS 2 upper bound - add a '# @capacity <N>' annotation to the others
sensor_msgs/msg/PointField	OK_STRINGS	fixed part 16 B, strings bounded at runtime
sensor_msgs/msg/Range	OK_STRINGS	fixed part 32 B, strings bounded at runtime
sensor_msgs/msg/RegionOfInterest	OK	max 17 B
sensor_msgs/msg/RelativeHumidity	OK_STRINGS	fixed part 28 B, strings bounded at runtime
sensor_msgs/msg/Temperature	OK_STRINGS	fixed part 28 B, strings bounded at runtime
sensor_msgs/msg/TimeReference	OK_STRINGS	fixed part 22 B, strings bounded at runtime
sensor_msgs/srv/SetCameraInfo	NEEDS_CAP	auto-derived capacity only supports a single trailing variable array with no ROS 2 upper bound - add a '# @capacity <N>' annotation to the others
service_msgs/msg/ServiceEventInfo	OK	max 36 B
shape_msgs/msg/Mesh	NEEDS_CAP	auto-derived capacity only supports a single trailing variable array with no ROS 2 upper bound - add a '# @capacity <N>' annotation to the others
shape_msgs/msg/MeshTriangle	OK	max 12 B
shape_msgs/msg/Plane	OK	max 32 B
shape_msgs/msg/SolidPrimitive	TOO_BIG	fixed part 1830 B > 1444
statistics_msgs/msg/MetricsMessage	NEEDS_CAP	field 'statistics': its capacity can't be auto-derived because a preceding field ('measurement_source_name') isn't fixed-size (a string, or a nested type containing one) - add an explicit '# @capacity <N>' annotation instead
statistics_msgs/msg/StatisticDataPoint	OK	max 12 B
