=== rmw cross-host RTT, 2026-09-26T21:17:41+09:00, SHA 099374d2c3fbdefcc83b9576fb61a4dcbcca4c50, 3 reps, msgs: bench array1k, spin arms: off, trace: 0, waits: poll, poll sleeps: 0 50 100 200, sysstamp arms: off ===
--- building rmw_tickle + rmw_perf_pingpong (Release) at 099374d2c3fbdefcc83b9576fb61a4dcbcca4c50 on both rpis ---
built on tickle-testbed-rpi-0 at 099374d2
built on tickle-testbed-rpi-1 at 099374d2
rmw_fastrtps_cpp array1k best_effort rep1 poll_sleep_us=100 | ok | framework=rmw_fastrtps_cpp scenario=pingpong qos=best_effort wait=poll sent=100 recv=100 loss_pct=0 rtt_min_ms=0.448 rtt_avg_ms=0.510 rtt_max_ms=0.830 LOOP: poll_sleep_us=100 iterations_per_rtt=2.06 spin_some_us=70.6 sleep_us=158.2 ping_utime_s=0.04 ping_stime_s=0.02 ping_maxrss_kb=24072  pong_procs=1 ping_procs_before=0 pong_cpu_s=0.04 pong_cpu_ns=57358350 pong_maxrss_kb=23728
rmw_cyclonedds_cpp array1k best_effort rep1 poll_sleep_us=100 | ok | framework=rmw_cyclonedds_cpp scenario=pingpong qos=best_effort wait=poll sent=100 recv=100 loss_pct=0 rtt_min_ms=0.421 rtt_avg_ms=0.451 rtt_max_ms=0.695 LOOP: poll_sleep_us=100 iterations_per_rtt=2.03 spin_some_us=54.1 sleep_us=156.1 ping_utime_s=0.01 ping_stime_s=0.03 ping_maxrss_kb=14720  pong_procs=1 ping_procs_before=0 pong_cpu_s=0.03 pong_cpu_ns=42362510 pong_maxrss_kb=14520
rmw_tickle array1k best_effort rep1 poll_sleep_us=200 | ok | framework=rmw_tickle scenario=pingpong qos=best_effort wait=poll sent=100 recv=100 loss_pct=0 rtt_min_ms=0.509 rtt_avg_ms=0.552 rtt_max_ms=0.839 LOOP: poll_sleep_us=200 iterations_per_rtt=2.04 spin_some_us=7.1 sleep_us=255.5 ping_utime_s=0.00 ping_stime_s=0.02 ping_maxrss_kb=11136  pong_procs=1 ping_procs_before=0 pong_cpu_s=0.03 pong_cpu_ns=34778110 pong_maxrss_kb=11724
rmw_fastrtps_cpp array1k best_effort rep1 poll_sleep_us=200 | ok | framework=rmw_fastrtps_cpp scenario=pingpong qos=best_effort wait=poll sent=100 recv=100 loss_pct=0 rtt_min_ms=0.608 rtt_avg_ms=0.658 rtt_max_ms=1.055 LOOP: poll_sleep_us=200 iterations_per_rtt=2.01 spin_some_us=49.9 sleep_us=258.7 ping_utime_s=0.03 ping_stime_s=0.03 ping_maxrss_kb=24080  pong_procs=1 ping_procs_before=0 pong_cpu_s=0.05 pong_cpu_ns=57539857 pong_maxrss_kb=23712
rmw_cyclonedds_cpp array1k best_effort rep1 poll_sleep_us=200 | ok | framework=rmw_cyclonedds_cpp scenario=pingpong qos=best_effort wait=poll sent=100 recv=100 loss_pct=0 rtt_min_ms=0.575 rtt_avg_ms=0.621 rtt_max_ms=0.662 LOOP: poll_sleep_us=200 iterations_per_rtt=2.00 spin_some_us=41.2 sleep_us=256.2 ping_utime_s=0.02 ping_stime_s=0.02 ping_maxrss_kb=14848  pong_procs=1 ping_procs_before=0 pong_cpu_s=0.03 pong_cpu_ns=42353168 pong_maxrss_kb=14532
rmw_tickle array1k reliable rep1 poll_sleep_us=0 | ok | framework=rmw_tickle scenario=pingpong qos=reliable wait=poll sent=100 recv=100 loss_pct=0 rtt_min_ms=0.241 rtt_avg_ms=0.268 rtt_max_ms=0.598 LOOP: poll_sleep_us=0 iterations_per_rtt=106.92 spin_some_us=2.1 sleep_us=0.1 ping_utime_s=0.02 ping_stime_s=0.02 ping_maxrss_kb=11264  pong_procs=1 ping_procs_before=0 pong_cpu_s=0.03 pong_cpu_ns=35671266 pong_maxrss_kb=11744
rmw_fastrtps_cpp array1k reliable rep1 poll_sleep_us=0 | ok | framework=rmw_fastrtps_cpp scenario=pingpong qos=reliable wait=poll sent=100 recv=100 loss_pct=0 rtt_min_ms=0.321 rtt_avg_ms=0.350 rtt_max_ms=0.664 LOOP: poll_sleep_us=0 iterations_per_rtt=4.37 spin_some_us=70.0 sleep_us=0.1 ping_utime_s=0.03 ping_stime_s=0.04 ping_maxrss_kb=24004  pong_procs=1 ping_procs_before=0 pong_cpu_s=0.05 pong_cpu_ns=60484399 pong_maxrss_kb=23724
rmw_cyclonedds_cpp array1k reliable rep1 poll_sleep_us=0 | ok | framework=rmw_cyclonedds_cpp scenario=pingpong qos=reliable wait=poll sent=100 recv=100 loss_pct=0 rtt_min_ms=0.244 rtt_avg_ms=0.379 rtt_max_ms=10.944 LOOP: poll_sleep_us=0 iterations_per_rtt=5.88 spin_some_us=59.7 sleep_us=0.1 ping_utime_s=0.02 ping_stime_s=0.03 ping_maxrss_kb=14976  pong_procs=1 ping_procs_before=0 pong_cpu_s=0.03 pong_cpu_ns=46040041 pong_maxrss_kb=14532
rmw_tickle array1k reliable rep1 poll_sleep_us=50 | ok | framework=rmw_tickle scenario=pingpong qos=reliable wait=poll sent=100 recv=100 loss_pct=0 rtt_min_ms=0.359 rtt_avg_ms=0.463 rtt_max_ms=0.726 LOOP: poll_sleep_us=50 iterations_per_rtt=3.99 spin_some_us=5.3 sleep_us=106.3 ping_utime_s=0.01 ping_stime_s=0.02 ping_maxrss_kb=11264  pong_procs=1 ping_procs_before=0 pong_cpu_s=0.03 pong_cpu_ns=35368741 pong_maxrss_kb=11744
rmw_fastrtps_cpp array1k reliable rep1 poll_sleep_us=50 | ok | framework=rmw_fastrtps_cpp scenario=pingpong qos=reliable wait=poll sent=100 recv=100 loss_pct=0 rtt_min_ms=0.476 rtt_avg_ms=0.538 rtt_max_ms=0.755 LOOP: poll_sleep_us=50 iterations_per_rtt=3.01 spin_some_us=56.5 sleep_us=107.3 ping_utime_s=0.04 ping_stime_s=0.03 ping_maxrss_kb=24084  pong_procs=1 ping_procs_before=0 pong_cpu_s=0.05 pong_cpu_ns=60610121 pong_maxrss_kb=23736
