=== COMPARISON.MD native re-sweep, 2026-09-24T22:54:39+09:00, 3 reps, main 659013e9cf85beb646e625f35693eae0c37e431b ===
--- deploying 659013e9cf85beb646e625f35693eae0c37e431b and building every scenario for all three frameworks on both rpis ---
659013e9cf85beb646e625f35693eae0c37e431b client / 659013e9cf85beb646e625f35693eae0c37e431b server

=== A: section 3 scenarios ===
A lifespan_pause_1_5 rep2 fastdds | leftover_before=none | RESULT: framework=fastdds scenario=lifespan_expiry role=client sent=250 RESULT: framework=fastdds scenario=lifespan_expiry role=server pause_s=1.500 recv=186 lost=64 loss_pct=25.6 
A lifespan_pause_1_5 rep3 tickle | leftover_before=none | RESULT: framework=tickle scenario=lifespan_expiry role=client sent=250 RESULT: framework=tickle scenario=lifespan_expiry role=server pause_s=1.50 recv=250 lost=0 loss_pct=0.0 
A lifespan_pause_1_5 rep3 cyclonedds | leftover_before=none | RESULT: framework=cyclonedds scenario=lifespan_expiry role=client sent=250 RESULT: framework=cyclonedds scenario=lifespan_expiry role=server pause_s=1.500 recv=180 lost=70 loss_pct=28.0 
A lifespan_pause_1_5 rep3 fastdds | leftover_before=none | RESULT: framework=fastdds scenario=lifespan_expiry role=client sent=250 RESULT: framework=fastdds scenario=lifespan_expiry role=server pause_s=1.500 recv=185 lost=65 loss_pct=26.0 
A lifespan_pause_2_0 rep1 tickle | leftover_before=none | RESULT: framework=tickle scenario=lifespan_expiry role=client sent=250 RESULT: framework=tickle scenario=lifespan_expiry role=server pause_s=2.00 recv=250 lost=0 loss_pct=0.0 
A lifespan_pause_2_0 rep1 cyclonedds | leftover_before=none | RESULT: framework=cyclonedds scenario=lifespan_expiry role=client sent=250 RESULT: framework=cyclonedds scenario=lifespan_expiry role=server pause_s=2.000 recv=155 lost=95 loss_pct=38.0 
A lifespan_pause_2_0 rep1 fastdds | leftover_before=none | RESULT: framework=fastdds scenario=lifespan_expiry role=client sent=250 RESULT: framework=fastdds scenario=lifespan_expiry role=server pause_s=2.000 recv=161 lost=89 loss_pct=35.6 
A lifespan_pause_2_0 rep2 tickle | leftover_before=none | RESULT: framework=tickle scenario=lifespan_expiry role=client sent=250 RESULT: framework=tickle scenario=lifespan_expiry role=server pause_s=2.00 recv=250 lost=0 loss_pct=0.0 
A lifespan_pause_2_0 rep2 cyclonedds | leftover_before=none | RESULT: framework=cyclonedds scenario=lifespan_expiry role=client sent=250 RESULT: framework=cyclonedds scenario=lifespan_expiry role=server pause_s=2.000 recv=155 lost=95 loss_pct=38.0 
A lifespan_pause_2_0 rep2 fastdds | leftover_before=none | RESULT: framework=fastdds scenario=lifespan_expiry role=client sent=250 RESULT: framework=fastdds scenario=lifespan_expiry role=server pause_s=2.000 recv=162 lost=88 loss_pct=35.2 
A lifespan_pause_2_0 rep3 tickle | leftover_before=none | RESULT: framework=tickle scenario=lifespan_expiry role=client sent=250 RESULT: framework=tickle scenario=lifespan_expiry role=server pause_s=2.00 recv=250 lost=0 loss_pct=0.0 
A lifespan_pause_2_0 rep3 cyclonedds | leftover_before=none | RESULT: framework=cyclonedds scenario=lifespan_expiry role=client sent=250 RESULT: framework=cyclonedds scenario=lifespan_expiry role=server pause_s=2.000 recv=155 lost=95 loss_pct=38.0 
A lifespan_pause_2_0 rep3 fastdds | leftover_before=none | RESULT: framework=fastdds scenario=lifespan_expiry role=client sent=250 RESULT: framework=fastdds scenario=lifespan_expiry role=server pause_s=2.000 recv=161 lost=89 loss_pct=35.6 

=== B: section 3a, reliable_throughput under injected loss ===
--- tc loss 0% ---
B loss0 K64 rep1 tickle | leftover_before=none | RESULT: framework=tickle scenario=reliable_throughput role=client sent=1480976 write_fail=0 elapsed_s=8.000 send_mbps=112.554 max_blocking_ms=100.000 keep_all=0 durable=0 reliable_depth=64 throttle_lag=0 ack_solicit_us=0 ack_watermark_pct=0 drained=acked peer_acks_end=1 peer_acks_min=1 cpu_mhz_mean=2393.8 cpu_mhz_min=1900.0 cpu_mhz_max=2400.0 cpu_samples=80 cpu_main=2 cpu_main_share=1.00 cpu_migrations=0 RESULT: framework=tickle scenario=reliable_throughput role=server recv=1480976 lost=0 loss_pct=0.0 post_match_lost=0 post_match_loss_pct=0.0 prematch_window=0 first_seq=1 window_samples=256 cpu_mhz_mean=2092.5 cpu_mhz_min=1500.0 cpu_mhz_max=2100.0 cpu_samples=80 cpu_main=3 cpu_main_share=0.54 cpu_migrations=18 
B loss0 K1024 rep1 tickle | leftover_before=none | RESULT: framework=tickle scenario=reliable_throughput role=client sent=1484201 write_fail=0 elapsed_s=8.000 send_mbps=112.799 max_blocking_ms=100.000 keep_all=0 durable=0 reliable_depth=1024 throttle_lag=0 ack_solicit_us=0 ack_watermark_pct=0 drained=acked peer_acks_end=1 peer_acks_min=1 cpu_mhz_mean=2391.2 cpu_mhz_min=1700.0 cpu_mhz_max=2400.0 cpu_samples=80 cpu_main=1 cpu_main_share=1.00 cpu_migrations=0 RESULT: framework=tickle scenario=reliable_throughput role=server recv=1484201 lost=0 loss_pct=0.0 post_match_lost=0 post_match_loss_pct=0.0 prematch_window=0 first_seq=1 window_samples=256 cpu_mhz_mean=2082.5 cpu_mhz_min=1500.0 cpu_mhz_max=2200.0 cpu_samples=80 cpu_main=3 cpu_main_share=0.68 cpu_migrations=29 
