=== rmw cross-host RTT, 2026-09-27T00:30:39+09:00, SHA 5b4fdc84a104c61f1acc00badbe0564ab2c206bc, 3 reps, msgs: bench array1k, spin arms: off, trace: 0, waits: poll block, poll sleeps: default, sysstamp arms: off, bpf arms: off, executor-poll arms: off on, rmws: rmw_tickle ===
--- building rmw_tickle + rmw_perf_pingpong (Release) at 5b4fdc84a104c61f1acc00badbe0564ab2c206bc on both rpis ---
built on tickle-testbed-rpi-0 at 5b4fdc84
built on tickle-testbed-rpi-1 at 5b4fdc84
rmw_tickle array1k reliable rep2 wait=block execpoll=on | ok | framework=rmw_tickle scenario=pingpong qos=reliable wait=block sent=100 recv=100 loss_pct=0 rtt_min_ms=0.248 rtt_avg_ms=0.264 rtt_max_ms=0.415 LOOP: poll_sleep_us=100 iterations_per_rtt=1.00 spin_some_us=0.0 sleep_us=0.0 ping_utime_s=0.01 ping_stime_s=0.02 ping_maxrss_kb=11392  pong_procs=1 ping_procs_before=0 pong_cpu_s=0.03 pong_cpu_ns=34289010 pong_maxrss_kb=11820
rmw_tickle bench best_effort rep3 wait=poll execpoll=off | ok | framework=rmw_tickle scenario=pingpong qos=best_effort wait=poll sent=100 recv=100 loss_pct=0 rtt_min_ms=0.454 rtt_avg_ms=0.503 rtt_max_ms=0.725 LOOP: poll_sleep_us=100 iterations_per_rtt=3.01 spin_some_us=5.9 sleep_us=155.9 ping_utime_s=0.01 ping_stime_s=0.02 ping_maxrss_kb=11136  pong_procs=1 ping_procs_before=0 pong_cpu_s=0.03 pong_cpu_ns=34488386 pong_maxrss_kb=11784
rmw_tickle bench best_effort rep3 wait=poll execpoll=on | ok | framework=rmw_tickle scenario=pingpong qos=best_effort wait=poll sent=100 recv=100 loss_pct=0 rtt_min_ms=0.466 rtt_avg_ms=0.505 rtt_max_ms=0.755 LOOP: poll_sleep_us=100 iterations_per_rtt=3.02 spin_some_us=5.7 sleep_us=156.2 ping_utime_s=0.01 ping_stime_s=0.02 ping_maxrss_kb=11136  pong_procs=1 ping_procs_before=0 pong_cpu_s=0.02 pong_cpu_ns=34612126 pong_maxrss_kb=11788
rmw_tickle bench best_effort rep3 wait=block execpoll=off | ok | framework=rmw_tickle scenario=pingpong qos=best_effort wait=block sent=100 recv=100 loss_pct=0 rtt_min_ms=0.227 rtt_avg_ms=0.246 rtt_max_ms=0.557 LOOP: poll_sleep_us=100 iterations_per_rtt=1.00 spin_some_us=0.0 sleep_us=0.0 ping_utime_s=0.01 ping_stime_s=0.02 ping_maxrss_kb=11264  pong_procs=1 ping_procs_before=0 pong_cpu_s=0.03 pong_cpu_ns=34508004 pong_maxrss_kb=11792
rmw_tickle bench best_effort rep3 wait=block execpoll=on | ok | framework=rmw_tickle scenario=pingpong qos=best_effort wait=block sent=100 recv=100 loss_pct=0 rtt_min_ms=0.228 rtt_avg_ms=0.242 rtt_max_ms=0.420 LOOP: poll_sleep_us=100 iterations_per_rtt=1.01 spin_some_us=0.0 sleep_us=0.0 ping_utime_s=0.01 ping_stime_s=0.02 ping_maxrss_kb=11264  pong_procs=1 ping_procs_before=0 pong_cpu_s=0.02 pong_cpu_ns=33643366 pong_maxrss_kb=11788
rmw_tickle bench reliable rep3 wait=poll execpoll=off | ok | framework=rmw_tickle scenario=pingpong qos=reliable wait=poll sent=100 recv=100 loss_pct=0 rtt_min_ms=0.459 rtt_avg_ms=0.507 rtt_max_ms=0.696 LOOP: poll_sleep_us=100 iterations_per_rtt=3.02 spin_some_us=5.9 sleep_us=156.0 ping_utime_s=0.01 ping_stime_s=0.01 ping_maxrss_kb=11392  pong_procs=1 ping_procs_before=0 pong_cpu_s=0.03 pong_cpu_ns=35289743 pong_maxrss_kb=11820
rmw_tickle bench reliable rep3 wait=poll execpoll=on | ok | framework=rmw_tickle scenario=pingpong qos=reliable wait=poll sent=100 recv=100 loss_pct=0 rtt_min_ms=0.457 rtt_avg_ms=0.506 rtt_max_ms=0.718 LOOP: poll_sleep_us=100 iterations_per_rtt=3.01 spin_some_us=5.7 sleep_us=156.4 ping_utime_s=0.01 ping_stime_s=0.02 ping_maxrss_kb=11392  pong_procs=1 ping_procs_before=0 pong_cpu_s=0.03 pong_cpu_ns=34032066 pong_maxrss_kb=11808
rmw_tickle bench reliable rep3 wait=block execpoll=off | ok | framework=rmw_tickle scenario=pingpong qos=reliable wait=block sent=100 recv=100 loss_pct=0 rtt_min_ms=0.236 rtt_avg_ms=0.249 rtt_max_ms=0.563 LOOP: poll_sleep_us=100 iterations_per_rtt=1.00 spin_some_us=0.0 sleep_us=0.0 ping_utime_s=0.01 ping_stime_s=0.02 ping_maxrss_kb=11264  pong_procs=1 ping_procs_before=0 pong_cpu_s=0.03 pong_cpu_ns=33995612 pong_maxrss_kb=11808
rmw_tickle bench reliable rep3 wait=block execpoll=on | ok | framework=rmw_tickle scenario=pingpong qos=reliable wait=block sent=100 recv=100 loss_pct=0 rtt_min_ms=0.229 rtt_avg_ms=0.240 rtt_max_ms=0.384 LOOP: poll_sleep_us=100 iterations_per_rtt=1.00 spin_some_us=0.0 sleep_us=0.0 ping_utime_s=0.00 ping_stime_s=0.02 ping_maxrss_kb=11264  pong_procs=1 ping_procs_before=0 pong_cpu_s=0.02 pong_cpu_ns=34877698 pong_maxrss_kb=11816
rmw_tickle array1k best_effort rep3 wait=poll execpoll=off | ok | framework=rmw_tickle scenario=pingpong qos=best_effort wait=poll sent=100 recv=100 loss_pct=0 rtt_min_ms=0.463 rtt_avg_ms=0.510 rtt_max_ms=0.883 LOOP: poll_sleep_us=100 iterations_per_rtt=3.04 spin_some_us=6.0 sleep_us=156.3 ping_utime_s=0.01 ping_stime_s=0.02 ping_maxrss_kb=11264  pong_procs=1 ping_procs_before=0 pong_cpu_s=0.03 pong_cpu_ns=35467236 pong_maxrss_kb=11800
rmw_tickle array1k best_effort rep3 wait=poll execpoll=on | ok | framework=rmw_tickle scenario=pingpong qos=best_effort wait=poll sent=100 recv=100 loss_pct=0 rtt_min_ms=0.461 rtt_avg_ms=0.506 rtt_max_ms=0.720 LOOP: poll_sleep_us=100 iterations_per_rtt=3.01 spin_some_us=6.2 sleep_us=156.2 ping_utime_s=0.01 ping_stime_s=0.02 ping_maxrss_kb=11264  pong_procs=1 ping_procs_before=0 pong_cpu_s=0.03 pong_cpu_ns=34764731 pong_maxrss_kb=11792
rmw_tickle array1k best_effort rep3 wait=block execpoll=off | ok | framework=rmw_tickle scenario=pingpong qos=best_effort wait=block sent=100 recv=100 loss_pct=0 rtt_min_ms=0.248 rtt_avg_ms=0.273 rtt_max_ms=0.615 LOOP: poll_sleep_us=100 iterations_per_rtt=1.00 spin_some_us=0.0 sleep_us=0.0 ping_utime_s=0.01 ping_stime_s=0.02 ping_maxrss_kb=11264  pong_procs=1 ping_procs_before=0 pong_cpu_s=0.03 pong_cpu_ns=36078040 pong_maxrss_kb=11796
rmw_tickle array1k best_effort rep3 wait=block execpoll=on | ok | framework=rmw_tickle scenario=pingpong qos=best_effort wait=block sent=100 recv=100 loss_pct=0 rtt_min_ms=0.245 rtt_avg_ms=0.259 rtt_max_ms=0.446 LOOP: poll_sleep_us=100 iterations_per_rtt=1.00 spin_some_us=0.0 sleep_us=0.0 ping_utime_s=0.01 ping_stime_s=0.02 ping_maxrss_kb=11264  pong_procs=1 ping_procs_before=0 pong_cpu_s=0.02 pong_cpu_ns=34079469 pong_maxrss_kb=11792
rmw_tickle array1k reliable rep3 wait=poll execpoll=off | ok | framework=rmw_tickle scenario=pingpong qos=reliable wait=poll sent=100 recv=100 loss_pct=0 rtt_min_ms=0.469 rtt_avg_ms=0.507 rtt_max_ms=0.725 LOOP: poll_sleep_us=100 iterations_per_rtt=3.01 spin_some_us=6.2 sleep_us=156.6 ping_utime_s=0.00 ping_stime_s=0.02 ping_maxrss_kb=11264  pong_procs=1 ping_procs_before=0 pong_cpu_s=0.03 pong_cpu_ns=34491001 pong_maxrss_kb=11812
rmw_tickle array1k reliable rep3 wait=poll execpoll=on | ok | framework=rmw_tickle scenario=pingpong qos=reliable wait=poll sent=100 recv=100 loss_pct=0 rtt_min_ms=0.459 rtt_avg_ms=0.510 rtt_max_ms=0.731 LOOP: poll_sleep_us=100 iterations_per_rtt=3.01 spin_some_us=6.6 sleep_us=156.7 ping_utime_s=0.00 ping_stime_s=0.02 ping_maxrss_kb=11392  pong_procs=1 ping_procs_before=0 pong_cpu_s=0.03 pong_cpu_ns=34883469 pong_maxrss_kb=11804
rmw_tickle array1k reliable rep3 wait=block execpoll=off | ok | framework=rmw_tickle scenario=pingpong qos=reliable wait=block sent=100 recv=100 loss_pct=0 rtt_min_ms=0.257 rtt_avg_ms=0.271 rtt_max_ms=0.578 LOOP: poll_sleep_us=100 iterations_per_rtt=1.01 spin_some_us=0.0 sleep_us=0.0 ping_utime_s=0.00 ping_stime_s=0.02 ping_maxrss_kb=11264  pong_procs=1 ping_procs_before=0 pong_cpu_s=0.03 pong_cpu_ns=34381563 pong_maxrss_kb=11816
rmw_tickle array1k reliable rep3 wait=block execpoll=on | ok | framework=rmw_tickle scenario=pingpong qos=reliable wait=block sent=100 recv=100 loss_pct=0 rtt_min_ms=0.252 rtt_avg_ms=0.267 rtt_max_ms=0.464 LOOP: poll_sleep_us=100 iterations_per_rtt=1.00 spin_some_us=0.0 sleep_us=0.0 ping_utime_s=0.01 ping_stime_s=0.02 ping_maxrss_kb=11392  pong_procs=1 ping_procs_before=0 pong_cpu_s=0.03 pong_cpu_ns=34975962 pong_maxrss_kb=11816

=== done ===
