=== rmw cross-host RTT, 2026-09-26T22:50:52+09:00, SHA ec82de1fcbae4bad3c52946af8eaf1ab8c2b883c, 3 reps, msgs: bench array1k, spin arms: off, trace: 0, waits: poll block, poll sleeps: default, sysstamp arms: off, bpf arms: off ===
--- building rmw_tickle + rmw_perf_pingpong (Release) at ec82de1fcbae4bad3c52946af8eaf1ab8c2b883c on both rpis ---
built on tickle-testbed-rpi-0 at ec82de1f
built on tickle-testbed-rpi-1 at ec82de1f
rmw_fastrtps_cpp bench reliable rep2 wait=block | ok | framework=rmw_fastrtps_cpp scenario=pingpong qos=reliable wait=block sent=100 recv=100 loss_pct=0 rtt_min_ms=0.295 rtt_avg_ms=0.329 rtt_max_ms=0.650 LOOP: poll_sleep_us=100 iterations_per_rtt=1.00 spin_some_us=0.0 sleep_us=0.0 ping_utime_s=0.03 ping_stime_s=0.03 ping_maxrss_kb=23764  pong_procs=1 ping_procs_before=0 pong_cpu_s=0.05 pong_cpu_ns=59829150 pong_maxrss_kb=23636
rmw_cyclonedds_cpp bench reliable rep2 wait=block | ok | framework=rmw_cyclonedds_cpp scenario=pingpong qos=reliable wait=block sent=100 recv=100 loss_pct=0 rtt_min_ms=0.248 rtt_avg_ms=0.268 rtt_max_ms=0.839 LOOP: poll_sleep_us=100 iterations_per_rtt=1.01 spin_some_us=0.0 sleep_us=0.0 ping_utime_s=0.02 ping_stime_s=0.02 ping_maxrss_kb=14720  pong_procs=1 ping_procs_before=0 pong_cpu_s=0.04 pong_cpu_ns=46918677 pong_maxrss_kb=14536
rmw_tickle array1k best_effort rep2 wait=poll | ok | framework=rmw_tickle scenario=pingpong qos=best_effort wait=poll sent=100 recv=100 loss_pct=0 rtt_min_ms=0.460 rtt_avg_ms=0.507 rtt_max_ms=0.843 LOOP: poll_sleep_us=100 iterations_per_rtt=3.02 spin_some_us=6.3 sleep_us=156.1 ping_utime_s=0.01 ping_stime_s=0.02 ping_maxrss_kb=11264  pong_procs=1 ping_procs_before=0 pong_cpu_s=0.03 pong_cpu_ns=34509872 pong_maxrss_kb=11764
rmw_fastrtps_cpp array1k best_effort rep2 wait=poll | ok | framework=rmw_fastrtps_cpp scenario=pingpong qos=best_effort wait=poll sent=100 recv=100 loss_pct=0 rtt_min_ms=0.454 rtt_avg_ms=0.508 rtt_max_ms=0.797 LOOP: poll_sleep_us=100 iterations_per_rtt=2.05 spin_some_us=71.0 sleep_us=159.1 ping_utime_s=0.03 ping_stime_s=0.03 ping_maxrss_kb=24080  pong_procs=1 ping_procs_before=0 pong_cpu_s=0.05 pong_cpu_ns=56441779 pong_maxrss_kb=23728
rmw_cyclonedds_cpp array1k best_effort rep2 wait=poll | ok | framework=rmw_cyclonedds_cpp scenario=pingpong qos=best_effort wait=poll sent=100 recv=100 loss_pct=0 rtt_min_ms=0.412 rtt_avg_ms=0.452 rtt_max_ms=0.674 LOOP: poll_sleep_us=100 iterations_per_rtt=2.04 spin_some_us=53.9 sleep_us=154.3 ping_utime_s=0.02 ping_stime_s=0.02 ping_maxrss_kb=14720  pong_procs=1 ping_procs_before=0 pong_cpu_s=0.03 pong_cpu_ns=43356868 pong_maxrss_kb=14544
rmw_tickle array1k best_effort rep2 wait=block | ok | framework=rmw_tickle scenario=pingpong qos=best_effort wait=block sent=100 recv=100 loss_pct=0 rtt_min_ms=0.257 rtt_avg_ms=0.272 rtt_max_ms=0.616 LOOP: poll_sleep_us=100 iterations_per_rtt=1.00 spin_some_us=0.0 sleep_us=0.0 ping_utime_s=0.01 ping_stime_s=0.02 ping_maxrss_kb=11264  pong_procs=1 ping_procs_before=0 pong_cpu_s=0.02 pong_cpu_ns=35128115 pong_maxrss_kb=11764
rmw_fastrtps_cpp array1k best_effort rep2 wait=block | ok | framework=rmw_fastrtps_cpp scenario=pingpong qos=best_effort wait=block sent=100 recv=100 loss_pct=0 rtt_min_ms=0.311 rtt_avg_ms=0.343 rtt_max_ms=0.637 LOOP: poll_sleep_us=100 iterations_per_rtt=1.00 spin_some_us=0.0 sleep_us=0.0 ping_utime_s=0.03 ping_stime_s=0.03 ping_maxrss_kb=23992  pong_procs=1 ping_procs_before=0 pong_cpu_s=0.04 pong_cpu_ns=56470697 pong_maxrss_kb=23728
rmw_cyclonedds_cpp array1k best_effort rep2 wait=block | ok | framework=rmw_cyclonedds_cpp scenario=pingpong qos=best_effort wait=block sent=100 recv=100 loss_pct=0 rtt_min_ms=0.273 rtt_avg_ms=0.292 rtt_max_ms=0.403 LOOP: poll_sleep_us=100 iterations_per_rtt=1.01 spin_some_us=0.0 sleep_us=0.0 ping_utime_s=0.01 ping_stime_s=0.03 ping_maxrss_kb=14848  pong_procs=1 ping_procs_before=0 pong_cpu_s=0.04 pong_cpu_ns=42907755 pong_maxrss_kb=14536
rmw_tickle array1k reliable rep2 wait=poll | ok | framework=rmw_tickle scenario=pingpong qos=reliable wait=poll sent=100 recv=100 loss_pct=0 rtt_min_ms=0.460 rtt_avg_ms=0.509 rtt_max_ms=0.871 LOOP: poll_sleep_us=100 iterations_per_rtt=3.02 spin_some_us=6.3 sleep_us=156.2 ping_utime_s=0.01 ping_stime_s=0.02 ping_maxrss_kb=11392  pong_procs=1 ping_procs_before=0 pong_cpu_s=0.02 pong_cpu_ns=34919259 pong_maxrss_kb=11784
rmw_fastrtps_cpp array1k reliable rep2 wait=poll | ok | framework=rmw_fastrtps_cpp scenario=pingpong qos=reliable wait=poll sent=100 recv=100 loss_pct=0 rtt_min_ms=0.463 rtt_avg_ms=0.537 rtt_max_ms=0.798 LOOP: poll_sleep_us=100 iterations_per_rtt=2.13 spin_some_us=71.2 sleep_us=158.8 ping_utime_s=0.03 ping_stime_s=0.04 ping_maxrss_kb=24044  pong_procs=1 ping_procs_before=0 pong_cpu_s=0.05 pong_cpu_ns=60580068 pong_maxrss_kb=23736
