Attaching 17 probes...
# pong_rx_split v2 tgid 2986739 irq 108
S irq2napi=5908 enq=18925 rd=19962 wk_rx=0 sw_rx=27611 wait=0 rx=30833 rxtid=2986750 wk_ex=42481 sw_ex=49370 send=73666
S irq2napi=6500 enq=15444 rd=16500 wk_rx=0 sw_rx=24203 wait=0 rx=27203 rxtid=2986750 wk_ex=38203 sw_ex=44537 send=67611
S irq2napi=6926 enq=16833 rd=17870 wk_rx=0 sw_rx=25981 wait=0 rx=29648 rxtid=2986750 wk_ex=0 sw_ex=47500 send=72444
S irq2napi=6482 enq=20259 rd=21333 wk_rx=0 sw_rx=0 wait=0 rx=32389 rxtid=2986750 wk_ex=43852 sw_ex=0 send=74333
S irq2napi=6500 enq=16166 rd=17203 wk_rx=0 sw_rx=25926 wait=0 rx=28796 rxtid=2986750 wk_ex=0 sw_ex=45592 send=67499
S irq2napi=6371 enq=17556 rd=18611 wk_rx=0 sw_rx=26389 wait=0 rx=30278 rxtid=2986750 wk_ex=40945 sw_ex=0 send=70481
S irq2napi=6463 enq=19148 rd=20315 wk_rx=0 sw_rx=27944 wait=0 rx=30907 rxtid=2986750 wk_ex=0 sw_ex=0 send=75870
S irq2napi=6240 enq=15648 rd=16796 wk_rx=0 sw_rx=0 wait=0 rx=28648 rxtid=2986750 wk_ex=39277 sw_ex=0 send=71444
S irq2napi=6204 enq=18222 rd=19426 wk_rx=0 sw_rx=27277 wait=0 rx=29944 rxtid=2986750 wk_ex=0 sw_ex=46277 send=68536
S irq2napi=6463 enq=19981 rd=21000 wk_rx=0 sw_rx=28555 wait=0 rx=31296 rxtid=2986750 wk_ex=0 sw_ex=47815 send=68222
S irq2napi=6481 enq=18704 rd=19759 wk_rx=0 sw_rx=27259 wait=0 rx=30167 rxtid=2986750 wk_ex=39722 sw_ex=47204 send=67704
S irq2napi=6277 enq=16963 rd=18074 wk_rx=0 sw_rx=25815 wait=0 rx=28426 rxtid=2986750 wk_ex=38963 sw_ex=45500 send=67389
S irq2napi=6278 enq=17407 rd=18555 wk_rx=0 sw_rx=25536 wait=0 rx=29036 rxtid=2986750 wk_ex=0 sw_ex=45925 send=68814
S irq2napi=5815 enq=13296 rd=14259 wk_rx=0 sw_rx=0 wait=0 rx=25056 rxtid=2986750 wk_ex=35278 sw_ex=42537 send=65259
S irq2napi=6018 enq=14370 rd=15389 wk_rx=0 sw_rx=0 wait=0 rx=26259 rxtid=2986750 wk_ex=37000 sw_ex=0 send=78814
S irq2napi=5797 enq=10962 rd=11870 wk_rx=0 sw_rx=0 wait=0 rx=22814 rxtid=2986750 wk_ex=33055 sw_ex=41907 send=67147
S irq2napi=5649 enq=10556 rd=11352 wk_rx=0 sw_rx=0 wait=0 rx=21889 rxtid=2986750 wk_ex=0 sw_ex=0 send=68981
S irq2napi=8889 enq=12167 rd=12963 wk_rx=0 sw_rx=0 wait=0 rx=30000 rxtid=2986750 wk_ex=49777 sw_ex=58333 send=107684
